pattern_type,symbol,window,P1_date,P1_high,T1_date,T1_low,P2_date,P2_high,T2_date,T2_low,P3_date,P3_high,breakout_date,image_path
head_and_shoulders,AAPL,2y,2024-10-15,236.3898456598821,2024-11-04,218.69220372782075,2024-12-26,259.1799258751944,2025-01-21,218.6039696546368,2025-02-25,249.38956194785018,2025-03-21,/Users/dhairya/Development/CodeTrade/stock_pattern_detector/PatternCharts/AAPL/2y/HNS/AAPL_HNS_pattern_zoom_2y_1.png
head_and_shoulders,AAPL,5y,2021-09-07,153.95345421989785,2021-10-04,135.36277471551017,2022-01-04,179.35491668068815,2022-03-14,147.34596655573256,2022-03-30,176.31450624555694,2022-05-11,/Users/dhairya/Development/CodeTrade/stock_pattern_detector/PatternCharts/AAPL/5y/HNS/AAPL_HNS_pattern_zoom_5y_1.png
head_and_shoulders,ASHOKLEY.NS,5y,2021-08-03,70.0298623690291,2021-08-23,56.12651057743503,2021-11-16,75.01454097186968,2021-12-20,57.17720268192953,2022-01-17,69.34568089414175,2022-02-24,/Users/dhairya/Development/CodeTrade/stock_pattern_detector/PatternCharts/ASHOKLEY.NS/5y/HNS/ASHOKLEY.NS_HNS_pattern_zoom_5y_1.png
head_and_shoulders,RELIANCE.NS,5y,2021-06-15,1035.106825043558,2021-07-28,917.4179602018662,2021-10-19,1251.8972908980181,2021-12-20,1022.4574879615027,2022-01-14,1168.1523329319614,2022-02-24,/Users/dhairya/Development/CodeTrade/stock_pattern_detector/PatternCharts/RELIANCE.NS/5y/HNS/RELIANCE.NS_HNS_pattern_zoom_5y_1.png
head_and_shoulders,BAJFINANCE.NS,3y,2023-07-05,792.1887378823603,2023-08-21,673.4678092266714,2023-10-06,811.2114459948342,2023-11-16,686.3658659801447,2024-01-08,775.364388099659,2024-01-30,/Users/dhairya/Development/CodeTrade/stock_pattern_detector/PatternCharts/BAJFINANCE.NS/3y/HNS/BAJFINANCE.NS_HNS_pattern_zoom_3y_1.png
head_and_shoulders,BAJFINANCE.NS,5y,2023-07-05,792.1887378823603,2023-08-21,673.4678092266714,2023-10-06,811.2114459948342,2023-11-16,686.3658659801447,2024-01-08,775.364388099659,2024-01-30,/Users/dhairya/Development/CodeTrade/stock_pattern_detector/PatternCharts/BAJFINANCE.NS/5y/HNS/BAJFINANCE.NS_HNS_pattern_zoom_5y_1.png
head_and_shoulders,ONGC.NS,3y,2024-03-05,270.5980065523659,2024-03-15,236.3637268781698,2024-05-03,278.19508792081405,2024-05-13,248.8513954865714,2024-06-03,272.11744755038757,2024-06-04,/Users/dhairya/Development/CodeTrade/stock_pattern_detector/PatternCharts/ONGC.NS/3y/HNS/ONGC.NS_HNS_pattern_zoom_3y_1.png
head_and_shoulders,SUNPHARMA.NS,3y,2024-04-05,1618.554782294927,2024-06-04,1360.144929323932,2024-09-30,1942.2129644874753,2024-11-28,1707.4551203465778,2024-12-31,1892.328798867843,2025-01-28,/Users/dhairya/Development/CodeTrade/stock_pattern_detector/PatternCharts/SUNPHARMA.NS/3y/HNS/SUNPHARMA.NS_HNS_pattern_zoom_3y_1.png
head_and_shoulders,SUNPHARMA.NS,5y,2024-04-05,1618.554782294927,2024-06-04,1360.144929323932,2024-09-30,1942.2129644874753,2024-11-28,1707.4551203465778,2024-12-31,1892.328798867843,2025-01-28,/Users/dhairya/Development/CodeTrade/stock_pattern_detector/PatternCharts/SUNPHARMA.NS/5y/HNS/SUNPHARMA.NS_HNS_pattern_zoom_5y_1.png
head_and_shoulders,LTIM.NS,2y,2024-09-19,6494.22075585184,2024-11-04,5522.72757200762,2024-12-16,6707.319709479284,2024-12-31,5460.638929999791,2025-02-05,6042.330777022684,2025-02-24,/Users/dhairya/Development/CodeTrade/stock_pattern_detector/PatternCharts/LTIM.NS/2y/HNS/LTIM.NS_HNS_pattern_zoom_2y_1.png
head_and_shoulders,LTIM.NS,5y,2021-11-17,7233.26187417408,2021-11-29,6112.0742979742645,2022-01-04,7256.065943983025,2022-02-24,5335.342398829161,2022-03-09,6238.717405777118,2022-04-25,/Users/dhairya/Development/CodeTrade/stock_pattern_detector/PatternCharts/LTIM.NS/5y/HNS/LTIM.NS_HNS_pattern_zoom_5y_1.png
head_and_shoulders,LTIM.NS,5y,2024-09-19,6494.22075585184,2024-11-04,5522.72757200762,2024-12-16,6707.319709479284,2024-12-31,5460.638929999791,2025-02-05,6042.330777022684,2025-02-24,/Users/dhairya/Development/CodeTrade/stock_pattern_detector/PatternCharts/LTIM.NS/5y/HNS/LTIM.NS_HNS_pattern_zoom_5y_2.png
